Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,1.004245,1.008290,0.998253,1.002368,1.002368,14860164
2022-12-06,1.002399,1.010141,0.999966,1.004541,1.004541,11857129
2022-12-07,1.004874,1.007638,0.997484,1.002242,1.002242,9197057
2022-12-08,1.002727,1.013825,1.000385,1.003598,1.003598,7553573
2022-12-09,1.003874,1.008623,1.000146,1.003580,1.003580,12965432
2022-12-10,1.003590,1.008165,1.000113,1.001083,1.001083,2501389
2022-12-11,1.001076,1.008467,1.000294,1.004002,1.004002,11551449
2022-12-12,1.003661,1.012291,1.001130,1.009993,1.009993,17517437
2022-12-13,1.010093,1.018069,1.000794,1.007565,1.007565,21409836
2022-12-14,1.008029,1.011804,1.002066,1.006564,1.006564,34226870
2022-12-15,1.006756,1.010068,1.000153,1.007323,1.007323,14863401
2022-12-16,1.007635,1.009768,0.994507,1.008067,1.008067,17028542
2022-12-17,1.008864,1.011407,1.000420,1.009987,1.009987,15585751
2022-12-18,1.009636,1.010743,1.001741,1.003678,1.003678,1307103
2022-12-19,1.003647,1.007227,0.998210,1.004882,1.004882,3322686
2022-12-20,1.004930,1.013070,0.999293,1.001138,1.001138,25242481
2022-12-21,1.001519,1.004690,0.996476,1.002729,1.002729,3171568
2022-12-22,1.001300,1.009238,0.994057,1.006936,1.006936,4737590
2022-12-23,1.006894,1.008160,0.993919,0.999500,0.999500,5137460
2022-12-24,0.999538,1.001819,0.994772,1.001422,1.001422,918882
2022-12-25,1.001423,1.004077,0.993850,1.000389,1.000389,7219356
2022-12-26,1.001082,1.004129,0.995090,1.004019,1.004019,1686241
2022-12-27,1.004144,1.005009,0.996720,0.999320,0.999320,12309904
2022-12-28,0.999301,1.004153,0.993936,0.998940,0.998940,16993089
2022-12-29,0.998941,1.003072,0.995256,1.001879,1.001879,6285451
2022-12-30,1.001851,1.001919,0.996110,0.996931,0.996931,4139650
2022-12-31,0.996875,1.002969,0.994908,0.996193,0.996193,3014691
2023-01-01,0.996064,1.002593,0.993996,0.996817,0.996817,1136452
2023-01-02,0.998006,1.006144,0.993312,0.997445,0.997445,5975732
2023-01-03,0.997938,1.001898,0.993266,1.000483,1.000483,4641942
2023-01-04,1.000484,1.009692,0.995506,0.996313,0.996313,17724491
2023-01-05,0.998691,1.002079,0.995877,0.999026,0.999026,4168711
2023-01-06,0.998990,1.007837,0.996007,1.000575,1.000575,6248244
2023-01-07,null,null,null,null,null,null
2023-01-08,0.998640,0.999606,0.996731,0.998985,0.998985,3319980
